Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
2690,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/13/2020 4:51:21 pm",A-00486,"Ennis - Baltimore"
2690,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"04/13/2020 4:51:21 pm",A-00486,"Ennis - Baltimore"
2693,E10GR-1W-FC-BOX,E,"#10 S/W GREEN FC BOX 1935",320000,Each,,"0000-00-00 00:00:00",,,,0.01746,0.000000,0.000000,#10,GREEN,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/14/2020 2:53:57 pm",A-00457,"Double Envelope Company"
2693,E10GR-PW-FC-BOX,E,"#10 PISTOL WINDOW GREEN FC BOX 1935",480000,Each,,"0000-00-00 00:00:00",,,,0.02019,0.000000,0.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"04/14/2020 2:53:57 pm",A-00457,"Double Envelope Company"
2699,E10GR-PW-SC-BOX,E,"#10 PISTOL WINDOW GREEN STD BOX 1935",176000,Each,,"0000-00-00 00:00:00",,,,0.02019,0.000000,0.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"04/15/2020 2:38:55 pm",A-00457,"Double Envelope Company"
2700,E10WH-PW-SC-BOX,E,"#10 PISTOL WH STD BOX ",320000,Each,,"0000-00-00 00:00:00",,,,0.01569,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"04/15/2020 2:39:35 pm",A-00498,"Double Envelope Company"
2701,P8511-20GR,P,"GREEN 20# 8.5X11",10000,Each,,"0000-00-00 00:00:00",,,,0.01089,0.000000,0.000000,8.5X11,GREEN,,,"Letter, Print Other","0000-00-00 00:00:00",,"04/15/2020 4:32:07 pm",A-00517,"Veritiv - Baltimore"
2711,E10WH-PW-SC-BOX,E,"#10 PISTOL WH STD BOX ",640000,Each,,"0000-00-00 00:00:00",,,,0.01569,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"04/16/2020 5:22:50 pm",A-00498,"Double Envelope Company"
2712,E10WH-1W-FC-EAG,E,"#10 S/W WH FC EAGLE ",160000,Each,,"0000-00-00 00:00:00",,,,0.01358,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/16/2020 5:23:08 pm",A-00501,"Double Envelope Company"
2713,PS8511-BLKWHT-ZF,PS,"BLACK/WHITE Z-FOLD PS 8.5X11",120000,Each,,"0000-00-00 00:00:00",,,,0.0233,0.000000,0.000000,8.5X11,BLACK/WHITE,,,"Snap Pack, Letter, Print Other","0000-00-00 00:00:00",,"04/16/2020 5:57:57 pm",A-00511,"Wilmer - Baltimore"
2713,PS8511-BLKWHT-CF,PS,"BLACK/WHITE C-FOLD PS 8.5X11",120000,Each,,"0000-00-00 00:00:00",,,,0.0233,0.000000,0.000000,8.5X11,"BLACK/WHITE ",,,"Snap Pack","0000-00-00 00:00:00",,"04/16/2020 5:57:57 pm",A-00511,"Wilmer - Baltimore"
2713,PS8511-BLKWHT-HF,PS,"BLACK/WHITE HALF-FOLD PS 8.5X11",120000,Each,,"0000-00-00 00:00:00",,,,0.0233,0.000000,0.000000,8.5X11,BLACK/WHITE,,,"Snap Pack ","0000-00-00 00:00:00",,"04/16/2020 5:57:57 pm",A-00511,"Wilmer - Baltimore"
2713,"INBOUND FREIGHT",,"INBOUND FREIGHT",4,Each,,"0000-00-00 00:00:00",,,,175,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"04/16/2020 5:57:57 pm",A-00511,"Wilmer - Baltimore"
2713,PS8514-BLKWHT-ZF,PS,"BLACK/WHITE Z-FOLD PS 8.5X14",104000,Each,,"0000-00-00 00:00:00",,,,0.02625,0.000000,0.000000,8.5X14,BLACK/WHITE,,,"Snap Pack, Letter, Print Other","0000-00-00 00:00:00",,"04/16/2020 5:57:57 pm",A-00511,"Wilmer - Baltimore"
2719,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/17/2020 5:46:07 pm",A-00486,"Ennis - Baltimore"
2719,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"04/17/2020 5:46:07 pm",A-00486,"Ennis - Baltimore"
2725,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/21/2020 12:55:30 pm",A-00486,"Ennis - Baltimore"
2725,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"04/21/2020 12:55:30 pm",A-00486,"Ennis - Baltimore"
2726,E10GR-PW-SC-BOX,E,"#10 PISTOL WINDOW GREEN STD BOX 1935",64000,Each,,"0000-00-00 00:00:00",,,,0.02019,0.000000,0.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"04/21/2020 1:00:41 pm",A-00457,"Double Envelope Company"
2727,E10WH-1W-FC-EAG,E,"#10 S/W WH FC EAGLE ",160000,Each,,"0000-00-00 00:00:00",,,,0.01358,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/21/2020 1:01:21 pm",A-00501,"Double Envelope Company"
2728,E10WH-1W-SC-EAG,E,"#10 S/W WH STD EAGLE ",320000,Each,,"0000-00-00 00:00:00",,,,0.01358,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/21/2020 1:01:47 pm",A-00501,"Double Envelope Company"
2728,E10WH-2W-FC-EAG,E,"#10 D/W WH FC EAGLE",320000,Each,,"0000-00-00 00:00:00",,,,0.01645,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/21/2020 1:01:47 pm",A-00501,"Double Envelope Company"
2728,E10WH-2W-SC-EAG,E,"#10 D/W WH STD EAGLE",320000,Each,,"0000-00-00 00:00:00",,,,0.01645,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/21/2020 1:01:47 pm",A-00501,"Double Envelope Company"
2731,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/24/2020 1:07:59 pm",A-00512,"Ennis - Baltimore"
2731,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"04/24/2020 1:07:59 pm",A-00512,"Ennis - Baltimore"
2732,P2640-67WH-V,P,"WHITE 67# VELLUM 26X40",10000,Each,,"0000-00-00 00:00:00",,,,0.26421,0.000000,0.000000,26X40,WHITE,,,"Post Card, Self Mailer, Converted, Letter, Print Other","0000-00-00 00:00:00",,"04/21/2020 6:15:07 pm",A-00519,"Veritiv - Baltimore"
2732,P2640-67CA-V,P,"CANARY 67# VELLUM 26X40",10000,Each,,"0000-00-00 00:00:00",,,,0.26421,0.000000,0.000000,26X40,CANARY,,,"Post Card, Self Mailer, Converted, Letter, Print Other","0000-00-00 00:00:00",,"04/21/2020 6:15:07 pm",A-00519,"Veritiv - Baltimore"
2748,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/28/2020 1:08:05 pm",A-00512,"Ennis - Baltimore"
2748,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"04/28/2020 1:08:05 pm",A-00512,"Ennis - Baltimore"
2749,P8511-24IV-LN,P,"IVORY 24# LINEN WRITING 8.5X11",20000,Each,,"0000-00-00 00:00:00",,,,0.01318,0.000000,0.000000,8.5X11,IVORY,,,"Letter, Print Other, Snap Pack, Converted","0000-00-00 00:00:00",,"04/28/2020 1:09:00 pm",A-00528,"Veritiv - Baltimore"
2760,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",510000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/30/2020 1:41:29 pm",A-00531,"Ennis - Baltimore"
2760,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"04/30/2020 1:41:29 pm",A-00531,"Ennis - Baltimore"
2761,E10GR-PW-FC-BOX,E,"#10 PISTOL WINDOW GREEN FC BOX 1935",80000,Each,,"0000-00-00 00:00:00",,,,0.02019,0.000000,0.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"04/30/2020 2:42:42 pm",A-00518,"Double Envelope Company"
2761,E10GR-PW-SC-BOX,E,"#10 PISTOL WINDOW GREEN STD BOX 1935",240000,Each,,"0000-00-00 00:00:00",,,,0.02019,0.000000,0.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"04/30/2020 2:42:42 pm",A-00518,"Double Envelope Company"
2768,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"05/01/2020 2:44:37 pm",A-00525,"Ennis - Baltimore"
2768,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"05/01/2020 2:44:37 pm",A-00525,"Ennis - Baltimore"
