Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
2594,E10GR-1W-FC-BOX,E,"#10 S/W GREEN FC BOX 1935",80000,Each,,"0000-00-00 00:00:00",,,,0.0215,0.000000,0.000000,#10,GREEN,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/06/2020 11:28:03 am",A-00292,"Southland Envelopes - Sacramento "
2598,E10WH-PW-SC-BOX,E,"#10 PISTOL WH STD BOX ",320000,Each,,"0000-00-00 00:00:00",,,,0.01875,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"03/25/2020 1:15:30 pm",A-00386,"Southland Envelopes - Denver "
2599,E10GR-PW-FC-BOX,E,"#10 PISTOL WINDOW GREEN FC BOX 1935",80000,Each,,"0000-00-00 00:00:00",,,,0.02245,0.000000,0.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"03/25/2020 1:16:07 pm",A-00451,"Southland Envelopes - Denver "
2600,P8511-60WH,P,"WHITE 60# 8.5X11",1000000,Each,,"0000-00-00 00:00:00",,,,0.01,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"03/25/2020 1:34:45 pm",A-00475,"Spicers - Denver"
2601,P8511-70WH,P,"WHITE 67.5# (70#) 8.5X11",160000,Each,,"0000-00-00 00:00:00",,,,0.01175,0.000000,0.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"03/25/2020 1:35:16 pm",A-00474,"Spicers - Denver"
2602,E10GR-PW-SC-BOX,E,"#10 PISTOL WINDOW GREEN STD BOX 1935",160000,Each,,"0000-00-00 00:00:00",,,,0.02245,0.000000,0.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"03/31/2020 12:44:41 pm",A-00451,"Southland Envelopes - Denver "
2603,E10WH-HW-FC-BOX,E,"#10 HALF WH FC BOX",160000,Each,,"0000-00-00 00:00:00",,,,0.01995,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"04/06/2020 11:18:04 am",A-00392,"Southland Envelopes - Denver "
2604,E10WH-PW-SC-BOX,E,"#10 PISTOL WH STD BOX ",80000,Each,,"0000-00-00 00:00:00",,,,0.01875,0.000000,0.000000,#10,WHITE,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"05/05/2020 8:59:48 am",A-00386,"Southland Envelopes - Denver "
2633,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,225,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"03/31/2020 6:48:21 pm",A-00454,"Wilmer - Denver "
2651,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.0305,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/06/2020 9:30:48 am",A-00471,"Ennis - Denver"
2654,E9WH-0W-REMIT,E,"#9 WHITE REG REMIT - PPM",10000,Each,,"0000-00-00 00:00:00",,,,0.065,0.000000,0.000000,#9,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"04/06/2020 11:19:55 am",A-00493,"Southland Envelopes - Denver "
2668,E10WH-HW,E,"#10 HALF WH BLANK",286000,Each,,"0000-00-00 00:00:00",,,,0.01955,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"04/08/2020 7:51:55 am",A-00392,"Southland Envelopes - Denver "
2669,E69WH-2W,E,"6X9 WH D/W BLANK",160000,Each,,"0000-00-00 00:00:00",,,,0.038,0.000000,0.000000,6X9,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/08/2020 7:52:46 am",A-00490,"Southland Envelopes - Denver "
2677,P8511-60WH,P,"WHITE 60# 8.5X11",300000,Each,,"0000-00-00 00:00:00",,,,0.0098,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"04/09/2020 8:05:24 am",A-00509,"Veritiv - Denver"
2678,P8511-60WH,P,"WHITE 60# 8.5X11",640000,Each,,"0000-00-00 00:00:00",,,,0.00995,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"04/09/2020 8:05:57 am",A-00510,"Veritiv - Denver"
2710,E10WH-FULLW,E,"#10 FULL WINDOW WHITE",160000,Each,,"0000-00-00 00:00:00",,,,0.0296,0.000000,24.000000,#10,WHITE,FULL,,"Letter, Print Other","0000-00-00 00:00:00",,"04/16/2020 11:32:12 am",A-00508,"Southland Envelopes - Denver "
2729,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",510000,Each,,"0000-00-00 00:00:00",,,,0.0305,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/21/2020 11:23:10 am",A-00506,"Ennis - Denver"
2745,P8511-70WH,P,"WHITE 67.5# (70#) 8.5X11",160000,Each,,"0000-00-00 00:00:00",,,,0.01175,0.000000,0.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"04/27/2020 2:41:17 pm",A-00532,"Spicers - Denver"
2747,E10WH-HW-FC-BOX,E,"#10 HALF WH FC BOX",240000,Each,,"0000-00-00 00:00:00",,,,0.01995,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"04/28/2020 10:42:09 am",A-00513,"Southland Envelopes - Denver "
2765,E10WH-1W-SC-EAG,E,"#10 S/W WH STD EAGLE ",240000,Each,,"0000-00-00 00:00:00",,,,0.01635,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"05/01/2020 9:13:18 am",A-00513,"Southland Envelopes - Denver "
2766,P8511-70WH,P,"WHITE 67.5# (70#) 8.5X11",320000,Each,,"0000-00-00 00:00:00",,,,0.01175,0.000000,0.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"05/01/2020 9:18:02 am",A-00541,"Spicers - Denver"
2790,E69WH-2W,E,"6X9 WH D/W BLANK",160000,Each,,"0000-00-00 00:00:00",,,,0.038,0.000000,0.000000,6X9,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"05/06/2020 8:49:44 am",A-00543,"Southland Envelopes - Denver "
2801,P8511-60WH,P,"WHITE 60# 8.5X11",1440000,Each,,"0000-00-00 00:00:00",,,,0.0095,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"05/07/2020 1:08:42 pm",A-00553,"Veritiv - Denver"
2802,P8511-70WH,P,"WHITE 67.5# (70#) 8.5X11",256000,Each,,"0000-00-00 00:00:00",,,,0.01119,0.000000,0.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"05/07/2020 1:12:06 pm",A-00553,"Veritiv - Denver"
2803,P8511-20PI,P,"PINK 20# 8.5X11",150000,Each,,"0000-00-00 00:00:00",,,,0.01,0.000000,0.000000,8.5X11,PINK,,,"Letter, Print Other","0000-00-00 00:00:00",,"05/11/2020 8:01:16 am",A-00558,"Spicers - Denver"
2803,P8511-20BL,P,"BLUE 20# 8.5X11",15000,Each,,"0000-00-00 00:00:00",,,,0.01,0.000000,0.000000,8.5X11,BLUE,,,"Letter, Print Other ","0000-00-00 00:00:00",,"05/11/2020 8:01:16 am",A-00558,"Spicers - Denver"
2810,E10WH-2W-SC-EAG,E,"#10 D/W WH STD EAGLE",240000,Each,,"0000-00-00 00:00:00",,,,0.01765,0.000000,0.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"05/12/2020 12:05:34 pm",A-00547,"Southland Envelopes - Denver "
2822,P1117-60WH,P,"WHITE 60# 11X17",50000,Each,,"0000-00-00 00:00:00",,,,0.0213,0.000000,0.000000,11X17,WHITE,,,"Letter, Converted, Self Mailer, Print Other","0000-00-00 00:00:00",,"05/18/2020 7:20:25 am",A-00572,"Spicers - Denver"
2823,P8511-60PI,P,"PINK 60# 8.5X11",100000,Each,,"0000-00-00 00:00:00",,,,0.01241,0.000000,0.000000,8.5X11,PINK,,,"Letter, Print Other","0000-00-00 00:00:00",,"05/18/2020 7:22:24 am",A-00578,"Veritiv - Denver"
2830,E10BK-1W,E,"#10 S/W BK BLANK",160000,Each,,"0000-00-00 00:00:00",,,,0.019,0.000000,0.000000,#10,"BROWN KRAFT",1W,,"Letter, Print Other","0000-00-00 00:00:00",,"05/19/2020 10:57:26 am",A-00547,"Southland Envelopes - Denver "
