Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
1821,P2640-67CA-V,P,"CANARY 67# VELLUM 26X40",50000,Each,,"0000-00-00 00:00:00",,,6,0.25,0.000000,0.000000,26X40,CANARY,,,"Post Card, Self Mailer, Converted, Letter, Print Other","0000-00-00 00:00:00",,"11/18/2019 2:14:48 pm",A-00181,"Spicers - Sacramento"
1824,P1218-100WHGL-C,P,"WHITE 100# GL COVER 12X18",50000,Each,,"0000-00-00 00:00:00",,,,0.06733,0.000000,0.000000,12X18,WHITE,,,"Letter, Post Card, Self Mailer","0000-00-00 00:00:00",,"11/25/2019 11:03:12 am",A-00180,"Veritiv - Sacramento"
1824,P1319-100WHGL-C,P,"WHITE 100# GL COVER 13X19",50000,Each,,"0000-00-00 00:00:00",,,,0.07768,0.000000,0.000000,13X19,WHITE,,,"Letter, Post Card, Self Mailer, Print Other","0000-00-00 00:00:00",,"11/25/2019 11:03:12 am",A-00180,"Veritiv - Sacramento"
1824,P2640-67CA-V,P,"CANARY 67# VELLUM 26X40",6000,Each,,"0000-00-00 00:00:00",,,1,0.2631,0.000000,0.000000,26X40,CANARY,,,"Post Card, Self Mailer, Converted, Letter, Print Other","0000-00-00 00:00:00",,"11/25/2019 11:03:12 am",A-00180,"Veritiv - Sacramento"
1824,P8511-60WH,P,"WHITE 60# 8.5X11",3570000,Each,,"0000-00-00 00:00:00",,,21,0.00826,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"11/25/2019 11:03:12 am",A-00180,"Veritiv - Sacramento"
1824,P2640-67CA-V,P,"CANARY 67# VELLUM 26X40",18000,Each,,"0000-00-00 00:00:00",,,,0.2631,0.000000,0.000000,26X40,CANARY,,,"Post Card, Self Mailer, Converted, Letter, Print Other","0000-00-00 00:00:00",,"11/25/2019 11:03:12 am",A-00180,"Veritiv - Sacramento"
1838,E10BK-1W-FC-BOX,E,"#10 S/W BK FC BOX",80000,each,,"0000-00-00 00:00:00",,,,0.0195,0.000000,0.000000,#10,"BROWN KRAFT",1W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/13/2019 11:25:58 am",A-00155,"Southland Envelopes - Sacramento "
1843,E10BK-1W-SC-CIR,E,"#10 S/W BK STD",1,Each,,"0000-00-00 00:00:00",,,,0,0.000000,0.000000,#10,"BROWN KRAFT",1W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/04/2019 4:36:41 pm",A-00187,"Wilmer - Denver "
1845,E10WH-2W-SC-SMARTBIZ-DW-CUST,E,"#10 D/W WH SMARTBIZ CUSTOM WINDOW",100000,Each,,"0000-00-00 00:00:00",,,1,0.02,0.000000,24.000000,#10,WHITE,2W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/20/2019 2:33:11 pm",A-00183,"Southland Envelopes - Sacramento "
1846,E10BK-2W,E,"#10 D/W BK BLANK ",90000,Each,,"0000-00-00 00:00:00",,,,0.02035,0.000000,0.000000,#10,"BROWN KRAFT",2W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/18/2019 11:57:22 am",A-00184,"Southland Envelopes - Sacramento "
1853,EA7WH-0W,E,"A7 WHITE",6000,Each,,"0000-00-00 00:00:00",,,,0.0578,0.000000,0.000000,A7,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"11/05/2019 4:36:10 pm",A-00194,"Kelly Paper - Sacramento"
1857,E69WH-0W,E,"6X9 WHITE REGULAR BLANK ",38000,Each,,"0000-00-00 00:00:00",76,,1,0.02583,0.000000,0.000000,6X9,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"11/14/2019 8:14:34 am",A-00195,"Veritiv - Sacramento"
1857,E69WH-0W,E,"6X9 WHITE REGULAR BLANK ",106000,Each,,"0000-00-00 00:00:00",212,,2,0.02583,0.000000,0.000000,6X9,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"11/14/2019 8:14:34 am",A-00195,"Veritiv - Sacramento"
1859,E69WH-0W,E,"6X9 WHITE REGULAR BLANK ",10000,Each,,"0000-00-00 00:00:00",,,,0.02583,0.000000,0.000000,6X9,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"11/06/2019 8:56:45 am",A-00195,"Veritiv - Sacramento"
1865,"P475-80GL-T-SMARTBIZ BT INST ",P,"4X7.5 SMARTBIZ BANKTERM INSERT",75000,Each,,"0000-00-00 00:00:00",,,1,0.02989,0.000000,80.000000,4X7.5,MULTI,,,"Letter, Print Other","0000-00-00 00:00:00",,"11/13/2019 3:44:16 pm",A-00189,"Volume Press"
1875,E10WH-1W-FC1946M,E,"MONSTER #10 S/W WH FC 1946",40000,Each,,"0000-00-00 00:00:00",,,,0.0035,0.000000,0.000000,#10,WHITE,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/07/2019 3:07:20 pm",A-00192,"Cathy Welsh Envelopes"
1876,E10BK-1W-KC-WORLD-RELIEF,E,"#10 BROWN KRAFT S/W KC WORLDWIDE/RELIEF PROS",34000,Each,,"0000-00-00 00:00:00",,,,0.0035,0.000000,0.000000,#10,"BROWN KRAFT",1W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/07/2019 3:07:51 pm",A-00193,"Cathy Welsh Envelopes"
1895,E10GR-1W-SEMPER-FC-BOX-1935,E,"#10 GREEN S/W FC BOX PERMIT #1935 - SEMPER HOME LOANS",50000,Each,,"0000-00-00 00:00:00",,,1,0.0035,0.000000,0.000000,#10,GREEN,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"11/13/2019 3:46:56 pm",A-00204,"Cathy Welsh Envelopes"
1903,P8511-WH60-YCR-HEA-CTY-6BRKT,P,"YCR HEARTLAND - CITY SQUARE SHELL 6 BRACKET VERSION",353000,Each,,"0000-00-00 00:00:00",,,,0.01482,0.000000,60.000000,8.5X11,WHITE,,,Letter,"0000-00-00 00:00:00",,"11/13/2019 2:56:54 pm",A-00199,"Volume Press"
1905,P2335-67PI-V,P,"PINK 67# VELLUM 23X35",1500,Each,,"0000-00-00 00:00:00",3,,1,0.235,0.000000,67.000000,23X35,PINK,,,"Letter, Converted, Post Card, Print Other ","0000-00-00 00:00:00",,"11/14/2019 8:39:40 am",A-00209,"Spicers - Sacramento"
1924,EA7WH-0W,E,"A7 WHITE",150000,Each,,"0000-00-00 00:00:00",,,3,0.0224,0.000000,0.000000,A7,WHITE,"NO WINDOW",,"Letter, Print Other","0000-00-00 00:00:00",,"11/18/2019 11:58:54 am",A-00206,"Southland Envelopes - Sacramento "
1930,E10WH-0W,E,"#10 REG WH BLANK",90000,Each,,"0000-00-00 00:00:00",,,1,0.015,0.000000,0.000000,#10,WHITE,"NO WINDOW",,"Letter, Print Other ","0000-00-00 00:00:00",,"11/25/2019 11:10:28 am",A-00223,"Southland Envelopes - Sacramento "
1930,E10WH-0W,E,"#10 REG WH BLANK",270000,Each,,"0000-00-00 00:00:00",,,,0.015,0.000000,0.000000,#10,WHITE,"NO WINDOW",,"Letter, Print Other ","0000-00-00 00:00:00",,"11/25/2019 11:10:28 am",A-00223,"Southland Envelopes - Sacramento "
